recipe_id,recipe_name,ingredients,nutritions,veg_nonveg,diet_goal,health_score,image_link,steps,user_id,rating
1,Andhra Chicken Biryani,"basmati rice, chicken, yogurt, ginger-garlic paste, biryani masala, green chilies, mint leaves, coriander leaves, onions, lemon, ghee, oil, salt","{'calories': 450, 'protein_g': 35, 'carbs_g': 55, 'fat_g': 12}",Non-Veg,Festive / High Protein,75,https://th.bing.com/th/id/OIP.cmsSReIqbTzL_vljiasx3QHaHa?w=183&h=183&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Marinate chicken with yogurt, ginger-garlic paste, and spices for 2 hours Fry onions until golden brown and set aside Layer marinated chicken and partially cooked rice in a heavy-bottomed vessel Add fried onions, mint, and coriander between layers Cook on dum (slow heat) for 20-25 minutes Serve hot with raita",user_0,3
2,Gongura Mutton,"mutton, gongura leaves, onions, tomatoes, ginger-garlic paste, red chili powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 380, 'protein_g': 40, 'carbs_g': 15, 'fat_g': 18}",Non-Veg,Traditional / High Protein,80,https://th.bing.com/th/id/OIP.Ly6h2Tq5MM398-xkpdLqeQHaFf?w=218&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Pressure cook mutton with salt and turmeric until tender Sauté onions, ginger-garlic paste, and tomatoes Add gongura leaves and cook until soft Mix in cooked mutton and simmer for 10 minutes Prepare tempering with mustard seeds and curry leaves Combine and serve hot with rice",user_1,1
3,Royyala Iguru (Prawn Curry),"prawns, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 280, 'protein_g': 35, 'carbs_g': 12, 'fat_g': 10}",Non-Veg,Coastal / High Protein,85,https://th.bing.com/th/id/OIP.mnbss8XeGnVx8_7rZxenSgHaEK?w=310&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Clean and marinate prawns with turmeric and salt Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add prawns and cook for 8-10 minutes Prepare tempering and add to curry Garnish with coriander leaves",user_2,4
4,Andhra Style Fish Curry,"fish pieces, tamarind, onions, tomatoes, red chili powder, turmeric, mustard seeds, fenugreek seeds, curry leaves, oil, salt","{'calories': 320, 'protein_g': 38, 'carbs_g': 15, 'fat_g': 12}",Non-Veg,Coastal / High Protein,82,https://th.bing.com/th/id/OIP.SzkfLSl3HCW42aEx0OHAcAHaE7?w=226&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Soak tamarind and extract pulp Sauté onions and tomatoes until soft Add spices and tamarind pulp, cook until raw smell disappears Add fish pieces and simmer for 15 minutes Prepare tempering with mustard and fenugreek seeds Serve hot with rice",user_3,3
5,Andhra Special Egg Curry,"eggs, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 280, 'protein_g': 20, 'carbs_g': 15, 'fat_g': 15}",Non-Veg,High Protein / Quick Meal,78,https://th.bing.com/th/id/OIP.8DgzO2ryIUX_ziDHLzOjuAHaHa?w=181&h=182&c=7&r=0&o=5&dpr=1.3&pid=1.7,"Boil eggs and make slits on them Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add boiled eggs and simmer for 10 minutes Prepare tempering and add to curry Garnish with coriander leaves",user_4,1
6,Andhra Chicken Pulao,"basmati rice, chicken, onions, ginger-garlic paste, green chilies, mint leaves, coriander leaves, whole spices, ghee, oil, salt","{'calories': 420, 'protein_g': 30, 'carbs_g': 50, 'fat_g': 12}",Non-Veg,One-Pot Meal / Balanced,80,https://th.bing.com/th/id/OIP.O2iz6LipEpLNeAcQ9vDQVAHaFP?w=226&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Sauté onions and whole spices in ghee Add chicken and cook until browned Add rice and water in correct proportion Cook on low heat until rice is done Garnish with mint and coriander Serve hot with raita,user_5,5
7,Andhra Special Chicken Fry,"chicken, ginger-garlic paste, red chili powder, turmeric, coriander powder, lemon juice, curry leaves, oil, salt","{'calories': 350, 'protein_g': 35, 'carbs_g': 8, 'fat_g': 18}",Non-Veg,High Protein / Appetizer,75,https://th.bing.com/th/id/OIP.oS4WnCsgMl7qvEwDWg188QHaE8?w=286&h=191&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Marinate chicken with spices and lemon juice for 2 hours Heat oil in a pan and add curry leaves Add marinated chicken and cook on medium heat Fry until chicken is crispy and cooked through Serve hot as starter or with rice,user_6,2
8,Andhra Mutton Curry,"mutton, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, whole spices, oil, salt","{'calories': 380, 'protein_g': 42, 'carbs_g': 12, 'fat_g': 18}",Non-Veg,Traditional / High Protein,78,https://th.bing.com/th/id/OIP.FDhqKVhm0iffCATsU8lLYQHaE8?w=272&h=181&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Pressure cook mutton with salt and turmeric Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add cooked mutton and simmer for 15 minutes Garnish with coriander leaves Serve hot with rice or roti",user_7,1
9,Andhra Style Crab Curry,"crabs, tamarind, onions, tomatoes, red chili powder, turmeric, mustard seeds, fenugreek seeds, curry leaves, oil, salt","{'calories': 300, 'protein_g': 35, 'carbs_g': 12, 'fat_g': 12}",Non-Veg,Coastal / High Protein,85,https://th.bing.com/th/id/OIP.4GInvhIy05ku29-Ora4-6wHaEK?w=333&h=187&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Clean crabs thoroughly Soak tamarind and extract pulp Sauté onions and tomatoes until soft Add spices and tamarind pulp, cook well Add crabs and simmer for 20 minutes Serve hot with rice",user_8,5
10,Andhra Chicken 65,"chicken, yogurt, ginger-garlic paste, red chili powder, turmeric, corn flour, curry leaves, oil, salt","{'calories': 320, 'protein_g': 32, 'carbs_g': 15, 'fat_g': 15}",Non-Veg,Appetizer / High Protein,70,https://th.bing.com/th/id/OIP.VKxFfTCCf0BpiDyDGeN8KgHaEK?w=299&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Marinate chicken with yogurt and spices for 2 hours Add corn flour to marinated chicken Deep fry chicken pieces until golden brown Temper with curry leaves in hot oil Toss fried chicken in tempering Serve hot as starter,user_9,4
11,Andhra Special Veg Biryani,"basmati rice, mixed vegetables, onions, ginger-garlic paste, green chilies, mint leaves, coriander leaves, whole spices, ghee, oil, salt","{'calories': 380, 'protein_g': 12, 'carbs_g': 65, 'fat_g': 10}",Veg,Festive / Balanced,85,https://tse1.mm.bing.net/th/id/OIP.Xg2eQv4ouwU99OSbkR9s2gHaEK?rs=1&pid=ImgDetMain&o=7&rm=3,Sauté onions and whole spices in ghee Add vegetables and cook until half done Add rice and water in correct proportion Cook on low heat until rice is done Garnish with mint and coriander Serve hot with raita,user_0,3
12,Andhra Style Paneer Curry,"paneer, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 320, 'protein_g': 18, 'carbs_g': 20, 'fat_g': 18}",Veg,High Protein / Vegetarian,80,https://th.bing.com/th/id/OIP.Ybwv0iJrsM9_tfePzc2wywAAAA?w=172&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add paneer cubes and simmer for 10 minutes Prepare tempering with mustard seeds and curry leaves Combine and garnish with coriander leaves Serve hot with roti or rice",user_1,4
13,Andhra Special Aloo Curry,"potatoes, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 280, 'protein_g': 8, 'carbs_g': 45, 'fat_g': 8}",Veg,Vegetarian / Comfort Food,75,https://th.bing.com/th/id/OIP.6Z7VSL3BizzUpFjamtuEQAAAAA?w=300&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Boil potatoes and cut into cubes Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add potato cubes and simmer for 10 minutes Prepare tempering and add to curry Serve hot with roti or rice",user_2,3
14,Andhra Style Baingan Bharta,"brinjal, onions, tomatoes, ginger-garlic paste, red chili powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 220, 'protein_g': 6, 'carbs_g': 30, 'fat_g': 8}",Veg,Vegetarian / Low Calorie,82,https://th.bing.com/th/id/OIP.sQA6oophqkpUYxYMq9xliwHaJ4?w=119&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Roast brinjal until skin chars and flesh is soft Peel and mash the brinjal Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add mashed brinjal and cook for 10 minutes Serve hot with roti",user_3,1
15,Andhra Special Dal Tadka,"toor dal, onions, tomatoes, ginger-garlic paste, red chili powder, turmeric, mustard seeds, cumin seeds, curry leaves, ghee, salt","{'calories': 250, 'protein_g': 15, 'carbs_g': 35, 'fat_g': 6}",Veg,High Protein / Vegetarian,88,https://th.bing.com/th/id/OIP.T_zdJ55yuoEaVwyfmV78ZwHaLO?w=119&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Pressure cook dal with turmeric and salt Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Mix with cooked dal and simmer for 10 minutes Prepare tempering with ghee and spices Pour tempering over dal and serve hot",user_4,2
16,Andhra Style Chana Masala,"chickpeas, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, chana masala powder, oil, salt","{'calories': 320, 'protein_g': 18, 'carbs_g': 45, 'fat_g': 10}",Veg,High Protein / Vegetarian,85,https://th.bing.com/th/id/OIP.JGDSrOIBtfFkuceb3zzAxgHaHa?w=182&h=242&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Soak chickpeas overnight and pressure cook Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add cooked chickpeas and simmer for 15 minutes Garnish with coriander leaves Serve hot with roti or rice",user_5,1
17,Andhra Special Vegetable Curry,"mixed vegetables, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 280, 'protein_g': 10, 'carbs_g': 40, 'fat_g': 8}",Veg,Vegetarian / Balanced,85,https://th.bing.com/th/id/OIP.WYXMkghkIskO2e2gd8KadwHaE7?w=249&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Chop vegetables into uniform pieces Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add vegetables and cook until tender Prepare tempering and add to curry Serve hot with roti or rice",user_6,5
18,Andhra Style Mushroom Curry,"mushrooms, onions, tomatoes, ginger-garlic paste, red chili powder, coriander powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 220, 'protein_g': 15, 'carbs_g': 20, 'fat_g': 8}",Veg,High Protein / Vegetarian,82,https://th.bing.com/th/id/OIP.qPPT5FQ20Q1ygwE0LRW1UgHaEK?w=301&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Clean and slice mushrooms Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until oil separates Add mushrooms and cook for 10-12 minutes Prepare tempering and add to curry Serve hot with roti or rice",user_7,4
19,Andhra Special Tomato Rice,"rice, tomatoes, onions, ginger-garlic paste, red chili powder, turmeric, mustard seeds, cumin seeds, curry leaves, oil, salt","{'calories': 350, 'protein_g': 8, 'carbs_g': 65, 'fat_g': 6}",Veg,Quick Meal / Vegetarian,80,https://th.bing.com/th/id/OIP.9a0odrtR_i1Pkj6SkrbdhwHaFx?w=194&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Cook rice and set aside to cool Sauté onions, ginger-garlic paste, and tomatoes Add spices and cook until tomatoes are mushy Mix with cooked rice gently Prepare tempering and add to rice Serve hot with raita",user_8,1
20,Andhra Style Lemon Rice,"rice, lemon juice, peanuts, chana dal, urad dal, mustard seeds, green chilies, curry leaves, turmeric, oil, salt","{'calories': 320, 'protein_g': 10, 'carbs_g': 55, 'fat_g': 8}",Veg,Quick Meal / Tangy,82,https://th.bing.com/th/id/OIP.tobQ2yccZAzpuHElPIMWKAHaEK?w=317&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Cook rice and spread to cool Roast peanuts until crunchy Prepare tempering with dals and spices Mix rice with tempering, peanuts, and lemon juice Adjust salt and serve at room temperature",user_9,5
